sal_code,deviance,res,x,y
1994914,-0.168,2,-34.01305443,18.64447623
1994926,1.039,1,-34.01395511,18.63864139
1994945,-0.216,3,-34.02131836,18.66565331
1994970,-0.322,3,-34.05624109,18.66045908
1994975,-0.499,4,-34.06329722,18.6917498
1994979,-0.663,4,-34.06303008,18.68511915
1995007,-0.688,4,-34.02597833,18.65316805
1995038,0.157,2,-34.00874802,18.64439826
1995045,-0.746,5,-34.06377021,18.68123304
1995106,2.094,1,-34.01355954,18.65214416
1995108,-0.659,4,-34.04372734,18.68060123
1995140,0.203,2,-34.01428023,18.64557986
1995144,-0.847,5,-34.06445325,18.68517462
1995204,-0.859,5,-34.06361284,18.68703214
1995205,-0.521,4,-34.04568382,18.68905209
1995218,-0.825,5,-34.05217386,18.70567484
1995222,-0.201,3,-34.01469776,18.63991656
1995228,-0.569,4,-34.01090852,18.64290142
1995230,0.175,2,-34.01575696,18.64452172
1995251,0.26,2,-34.01233108,18.64099801
1995252,-0.864,5,-34.06265826,18.70328329
1995284,-0.61,4,-34.03977829,18.70449407
